Year,U.S. Consumer Price Index *
1900,8.14
1901,8.24
1902,8.34
1903,8.53
1904,8.63
1905,8.53
1906,8.72
1907,9.11
1908,8.92
1909,8.82
1910,9.21
1911,9.21
1912,9.4
1913,9.6
1914,9.69
1915,9.74
1916,10.64
1917,12.82
1918,15.06
1919,17.3
1920,20.04
1921,17.9
1922,16.77
1923,17.07
1924,17.1
1925,17.53
1926,17.7
1927,17.37
1928,17.13
1929,17.13
1930,16.7
1931,15.23
1932,13.66
1933,12.96
1934,13.39
1935,13.73
1936,13.86
1937,14.36
1938,14.09
1939,13.89
1940,14.03
1941,14.73
1942,16.3
1943,17.3
1944,17.6
1945,18
1946,19.54
1947,22.34
1948,24.08
1949,23.85
1950,24.08
1951,25.98
1952,26.55
1953,26.75
1954,26.88
1955,26.78
1956,27.18
1957,28.15
1958,28.92
1959,29.16
1960,29.62
1961,29.92
1962,30.26
1963,30.62
1964,31.03
1965,31.56
1966,32.46
1967,33.4
1968,34.8
1969,36.67
1970,38.84
1971,40.51
1972,41.85
1973,44.45
1974,49.33
1975,53.84
1976,56.94
1977,60.61
1978,65.22
1979,72.57
1980,82.38
1981,90.93
1982,96.5
1983,99.6
1984,103.9
1985,107.6
1986,109.6
1987,113.6
1988,118.3
1989,124
1990,130.7
1991,136.2
1992,140.3
1993,144.5
1994,148.2
1995,152.4
1996,156.9
1997,160.5
1998,163
1999,166.6
2000,172.2
2001,177.1
2002,179.9
2003,184
2004,188.9
2005,195.3
2006,201.6
2007,207.34
2008,215.3
2009,214.54
2010,218.06
2011,224.94
2012,229.59
2013,232.96
2014,236.74
2015,237.02
2016,240.01
2017,245.12
2018,251.11
2019,255.66
2020,258.81
2021,270.97
