NameYear,AreasAffected,Damage,Deaths
Arlene 1987,"The Bahamas, Bermuda",19.08239437,0
Erika 2003,"Florida, Mexico, Southern Texas",147.2663043,2
Florence 2006,"Bermuda, Newfoundland, United States East Coast, Atlantic Canada, Iceland, Greenland",268.8194444,0
Debby 2000,"Lesser Antilles, Puerto Rico, Hispaniola, Turks and Caicos Islands, Cuba, Jamaica",1156.579268,1
Floyd 1987,"Cuba, Florida, The Bahamas",1192.649648,1
Doria 1967,United States East Coast,1216.931138,3
Anna 1961,"Windward Islands, Colombia, Venezuela, Central America, Jamaica",2716.945187,1
Klaus 1990,"Lesser Antilles, Puerto Rico, Hispaniola, Turks and Caicos Islands, The Bahamas, Southeastern United States",2073221.117,11
Allison 1995,"Yucatin Peninsula, western Cuba, Florida, Georgia, The Carolinas, Atlantic Canada",3022631.234,1
Florence 1988,"Yucatin Peninsula, Louisiana, Mississippi, Alabama, Florida",6642544.379,1
Irene 1971,"Lesser Antilles, Leeward Antilles, Central America",6688965.687,3
Marco 1996,"Cuba, Hispaniola, Central America, Jamaica, Florida",14161593.37,15
Gordon 2000,"Belize, Yucatin Peninsula, Cuba, United States East Coast, Atlantic Canada",16994634.15,26
Dean 1989,"Leeward Islands, Bermuda, North Carolina, Newfoundland",19448653.23,0
Kendra 1978,"Puerto Rico, United States East Coast",24928242.87,1
Humberto 2019,"Dominican Republic, Haiti, Cuba, The Bahamas, Florida, Bermuda",26497105,2
Beth 1971,"The Bahamas, Florida, Nova Scotia, Newfoundland",34113725.01,1
Greta 1956,"Cuba, Bahamas, Florida, Guadeloupe",35690676.97,1
Dennis 1981,"Lesser Antilles, Greater Antilles, The Bahamas, Florida, Georgia, The Carolinas, Virginia",44699769.05,0
Bob 1985,United States East Coast,50366171,5
Humberto 2007,"Texas, Louisiana, Mississippi, The Carolinas",65344361.92,1
Kyle 2008,"Puerto Rico, Hispaniola, Bermuda, New England, Atlantic Canada",71864314.91,8
Bob 1979,"Louisiana, Mississippi, Alabama, Midwestern United States",74678241.7,1
Larry 2021,"Bermuda, Newfoundland",80000000,7
Ophelia 2005,"The Bahamas, Eastern Coast of the United States, Atlantic Canada, Europe",97121863.8,3
Bonnie 1986,"Texas, Louisiana, Southeastern United States",103838868.6,5
Lorenzo 2007,Central Mexico,120233625.9,6
Jerry 1989,"Texas, eastern United States",152966935,3
Danny 1997,"Louisiana, Alabama, Southeastern United States, Mid-Atlantic states, New England",168828660.4,9
Gaston 2004,"The Carolinas, Virginia, Maryland, Delaware, Massachusetts",186480148.2,9
Hanna 2008,"Puerto Rico, Turks and Caicos Islands, The Bahamas, Hispaniola, United States East Coast, Atlantic Canada",201371110.1,537
Chantal 1989,"Texas, Louisiana, Oklahoma, Midwestern United States",218524193.5,13
Martha 1969,"Panama, Costa Rica",221682574.3,5
Danny 1985,"Cuba, United States Gulf Coast, Tennessee, The Carolinas, Virginia",251830855,5
Claudette 2003,"Windward Islands, Jamaica, Yucatin Peninsula, Northern Mexico, Texas",266552010.9,3
Cesar 1996,"Windward Islands, Trinidad and Tobago, Leeward Antilles, Venezuela, Colombia, Mexico, Socorro Island, Panama, Guatemala, El Salvador",350585787.1,113
Klaus 1984,"Puerto Rico, Leeward Islands",396414244.5,2
Cindy 2005,"Yucatin Peninsula, The Carolinas, Alabama, Mississippi, Louisiana",443985663.1,3
Janet 1955,"Lesser Antilles, Central America",665788872,1023
Ernesto 2006,"Lesser Antilles, Puerto Rico, Hispaniola, Cuba, United States East Coast, Atlantic Canada",6660000,11
Noel 2007,"The Caribbean, The Bahamas, Florida, Eastern United States, Eastern Canada, Greenland, Western Europe",757994598.2,222
Felix 2007,"Nicaragua, Honduras",940958811.6,133
Gordon 1994,"Central America, Cayman Islands, Jamaica, Hispaniola, Cuba, Turks and Caicos Islands, The Bahamas, Florida, Georgia, Mid-Atlantic states",1086074089,1152
Inez 1966,"Greater Antilles, Florida, Mexico",1911649107,756
Dean 2007,"The Caribbean, Central America",2300121540,45
Elena 1985,"Cuba, Mississippi",3273801115,9
Juan 1985,"United States Gulf Coast, central United States, Canada",3777462825,12
Allen 1980,"The Caribbean, Yucatin Peninsula, Mexico, South Texas",4078693858,269
Dorian 2019,"The Caribbean, The Bahamas, United States East Coast, Atlantic Canada, Greenland",5299421106,84
Stan 2005,"Costa Rica, Nicaragua, Honduras, El Salvador, Belize, Guatemala, Mexico",5494322581,1668
David 1979,"The Caribbean, United States East coast",5750224611,2068
Isabel 2003,"Greater Antilles, Bahamas, Eastern United States, Ontario",7908200543,51
Mitch 1998,"Central America, Yucatin Peninsula, South Florida",10306834356,19325
Camille 1969,"Cuba, United States Gulf Coast",10492975184,259
Gilbert 1988,"Jamaica, Venezuela, Central America, Hispaniola, Mexico",16262781065,318
Ivan 2004,"The Caribbean, Venezuela, United States Gulf Coast",33422980413,124
Andrew 1992,"The Bahamas, Florida, United States Gulf Coast",51181076265,65
Irma 2017,"Cape Verde, The Caribbean, Virgin Islands, Cuba, Florida",71633714099,138
Maria 2017,"Lesser Antilles, Virgin Islands, Puerto Rico, Dominican Republic, Turks and Caicos Islands",1.0126E+11,3057
